technology,title,location,type,experience,english,datetime,views,applicants
Algorithms,ML/CV Engineer,"Релокейт, Україна",Гібридна робота,3 роки досвіду,Intermediate,2024-01-02,26,2
REST,Senior Python Developer,"Польща, Португалія, Україна",Office або Remote,5 років досвіду,Upper-Intermediate,2024-01-02,26,9
FastAPI,Senior Python Developer,"Польща, Португалія, Україна",Office або Remote,5 років досвіду,Upper-Intermediate,2024-01-02,26,9
API,Senior Python Developer,"Польща, Португалія, Україна",Office або Remote,5 років досвіду,Upper-Intermediate,2024-01-02,26,9
AWS,Senior Python Developer,"Польща, Португалія, Україна",Office або Remote,5 років досвіду,Upper-Intermediate,2024-01-02,26,9
AI,Senior Python Developer,"Польща, Португалія, Україна",Office або Remote,5 років досвіду,Upper-Intermediate,2024-01-02,26,9
Microservice,Senior Python Developer,"Польща, Португалія, Україна",Office або Remote,5 років досвіду,Upper-Intermediate,2024-01-02,26,9
Data Base,Senior Python Developer,Україна,Тільки віддалено,3 роки досвіду,Intermediate,2024-01-02,68,17
SQL,Senior Python Developer,Україна,Тільки віддалено,3 роки досвіду,Intermediate,2024-01-02,68,17
Flask,Senior Python Developer,Україна,Тільки віддалено,3 роки досвіду,Intermediate,2024-01-02,68,17
MySQL,Senior Python Developer,Україна,Тільки віддалено,3 роки досвіду,Intermediate,2024-01-02,68,17
PostgreSQL,Senior Python Developer,Україна,Тільки віддалено,3 роки досвіду,Intermediate,2024-01-02,68,17
MongoDB,Senior Python Developer,Україна,Тільки віддалено,3 роки досвіду,Intermediate,2024-01-02,68,17
docker,Senior Python Developer,Україна,Тільки віддалено,3 роки досвіду,Intermediate,2024-01-02,68,17
REST,Senior Python Developer,Україна,Тільки віддалено,3 роки досвіду,Intermediate,2024-01-02,68,17
FastAPI,Senior Python Developer,Україна,Тільки віддалено,3 роки досвіду,Intermediate,2024-01-02,68,17
Celery,Senior Python Developer,Україна,Тільки віддалено,3 роки досвіду,Intermediate,2024-01-02,68,17
API,Senior Python Developer,Україна,Тільки віддалено,3 роки досвіду,Intermediate,2024-01-02,68,17
AI,Senior Python Developer,Україна,Тільки віддалено,3 роки досвіду,Intermediate,2024-01-02,68,17
AsyncIO,Senior Python Developer,Україна,Тільки віддалено,3 роки досвіду,Intermediate,2024-01-02,68,17
CSS,Fullstack Python/React Developer,"Релокейт, Польща, Україна",Гібридна робота,3 роки досвіду,Intermediate,2023-12-29,83,4
JS,Fullstack Python/React Developer,"Релокейт, Польща, Україна",Гібридна робота,3 роки досвіду,Intermediate,2023-12-29,83,4
Data Base,Fullstack Python/React Developer,"Релокейт, Польща, Україна",Гібридна робота,3 роки досвіду,Intermediate,2023-12-29,83,4
SQL,Fullstack Python/React Developer,"Релокейт, Польща, Україна",Гібридна робота,3 роки досвіду,Intermediate,2023-12-29,83,4
Django,Fullstack Python/React Developer,"Релокейт, Польща, Україна",Гібридна робота,3 роки досвіду,Intermediate,2023-12-29,83,4
Flask,Fullstack Python/React Developer,"Релокейт, Польща, Україна",Гібридна робота,3 роки досвіду,Intermediate,2023-12-29,83,4
ReactJS,Fullstack Python/React Developer,"Релокейт, Польща, Україна",Гібридна робота,3 роки досвіду,Intermediate,2023-12-29,83,4
PostgreSQL,Fullstack Python/React Developer,"Релокейт, Польща, Україна",Гібридна робота,3 роки досвіду,Intermediate,2023-12-29,83,4
GIT,Fullstack Python/React Developer,"Релокейт, Польща, Україна",Гібридна робота,3 роки досвіду,Intermediate,2023-12-29,83,4
MongoDB,Fullstack Python/React Developer,"Релокейт, Польща, Україна",Гібридна робота,3 роки досвіду,Intermediate,2023-12-29,83,4
docker,Fullstack Python/React Developer,"Релокейт, Польща, Україна",Гібридна робота,3 роки досвіду,Intermediate,2023-12-29,83,4
REST,Fullstack Python/React Developer,"Релокейт, Польща, Україна",Гібридна робота,3 роки досвіду,Intermediate,2023-12-29,83,4
FastAPI,Fullstack Python/React Developer,"Релокейт, Польща, Україна",Гібридна робота,3 роки досвіду,Intermediate,2023-12-29,83,4
API,Fullstack Python/React Developer,"Релокейт, Польща, Україна",Гібридна робота,3 роки досвіду,Intermediate,2023-12-29,83,4
AWS,Fullstack Python/React Developer,"Релокейт, Польща, Україна",Гібридна робота,3 роки досвіду,Intermediate,2023-12-29,83,4
Linux,Fullstack Python/React Developer,"Релокейт, Польща, Україна",Гібридна робота,3 роки досвіду,Intermediate,2023-12-29,83,4
AI,Fullstack Python/React Developer,"Релокейт, Польща, Україна",Гібридна робота,3 роки досвіду,Intermediate,2023-12-29,83,4
Fullstack,Fullstack Python/React Developer,"Релокейт, Польща, Україна",Гібридна робота,3 роки досвіду,Intermediate,2023-12-29,83,4
Algorithms,Fullstack Python/React Developer,"Релокейт, Польща, Україна",Гібридна робота,3 роки досвіду,Intermediate,2023-12-29,83,4
SQL,Senior BE Python Developer,Україна,Тільки віддалено,5 років досвіду,Upper-Intermediate,2024-01-02,48,9
MySQL,Senior BE Python Developer,Україна,Тільки віддалено,5 років досвіду,Upper-Intermediate,2024-01-02,48,9
FastAPI,Senior BE Python Developer,Україна,Тільки віддалено,5 років досвіду,Upper-Intermediate,2024-01-02,48,9
API,Senior BE Python Developer,Україна,Тільки віддалено,5 років досвіду,Upper-Intermediate,2024-01-02,48,9
AI,Senior BE Python Developer,Україна,Тільки віддалено,5 років досвіду,Upper-Intermediate,2024-01-02,48,9
docker,Python Developer,Україна,Тільки віддалено,3 роки досвіду,Upper-Intermediate,2024-01-02,75,10
AI,Python Developer,Україна,Тільки віддалено,3 роки досвіду,Upper-Intermediate,2024-01-02,75,10
Django,Middle Python Developer,Україна,Тільки віддалено,3 роки досвіду,Upper-Intermediate,2024-01-02,137,31
docker,Middle Python Developer,Україна,Тільки віддалено,3 роки досвіду,Upper-Intermediate,2024-01-02,137,31
API,Middle Python Developer,Україна,Тільки віддалено,3 роки досвіду,Upper-Intermediate,2024-01-02,137,31
AI,Middle Python Developer,Україна,Тільки віддалено,3 роки досвіду,Upper-Intermediate,2024-01-02,137,31
ML,Middle Python Developer,Україна,Тільки віддалено,3 роки досвіду,Upper-Intermediate,2024-01-02,137,31
Algorithms,Middle Python Developer,Україна,Тільки віддалено,3 роки досвіду,Upper-Intermediate,2024-01-02,137,31
